@relation winequality-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.instance.RemovePercentage-P60.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7
6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7
6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6
5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6
6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,6
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
